id,name,sell,process,stats,obtained_monster,obtained_map,type,image_paths
1,Ancient Coin,7 Spina,7 Metal,,Gold Jelly(Lv 34) (ID: 173); Gold Jelly(Lv 36) (ID: 174),Aulada Ancient Tower; Aulada Ancient Tower,Material,[]
2,Ancient Gold Coin,10 Spina,10 Metal,,Golden Skeleton(Lv 54) (ID: 148),Zoktzda Ruins,Material,[]
3,Ancient Stone Slab,9 Spina,9 Metal,,Ruin Golem(Lv 45) (ID: 154); Ruin Golem(Lv 35) (ID: 719); Ruin Golem(Lv 55) (ID: 720); Ruin Golem(Lv 65) (ID: 721); Ruin Golem(Lv 85) (ID: 722),Zoktzda ruins : Reversed Hall; Zoktzda ruins : Reversed Hall; Zoktzda ruins : Reversed Hall; Zoktzda ruins : Reversed Hall; Zoktzda ruins : Reversed Hall,Material,[]
4,Animal Claw,3 Spina,3 Beast,,Hound(Lv 13) (ID: 28); Hound(Lv 18) (ID: 29); Hound(Lv 15) (ID: 654),Isthmus Of Kaus; Isthmus Of Kaus; Isthmus Of Kaus,Material,[]
5,Animal Horn,3 Spina,3 Beast,,Lavarca(Lv 21) (ID: 19); Lavarca(Lv 21) (ID: 38),Rakau Plains; Ruined Temple Town,Material,[]
6,Animal Skin,1 Spina,2 Cloth,,Raffy(Lv 1) (ID: 17); Raffy(Lv 10) (ID: 660); Raffy(Lv 5) (ID: 536); Raffy(Lv 3) (ID: 535); Roca(Lv 18) (ID: 132); Raffy(Lv 10) (ID: 110); Boar(Lv 27) (ID: 106); Boar(Lv 26) (ID: 103); Little Boar(Lv 25) (ID: 102); Giant Boar(Lv 52) (ID: 101); Boar(Lv 25) (ID: 100); Little Boar(Lv 24) (ID: 99); Raffy(Lv 9) (ID: 37); Raffy(Lv 2) (ID: 18); Raffy(Lv 12) (ID: 705),Rakau Plains; Ruined Temple Town; Rugio Ruins; Rugio Ruins; Witeka Scorched Plains; Suedor Cliff; Nisel Mountain: Near The Top; Nisel Mountain: Mountainside; Nisel Mountain: Mountainside; Nisel Mountain; Nisel Mountain; Nisel Mountain; Ruined Temple Town; Rakau Plains; Suedor Cliff,Material,[]
7,Athema Stone,3 Spina,4 Metal,,Rio Frosch(Lv 11) (ID: 72),Athema Ruins: Area 2,Material,[]
8,Aulada Stone,7 Spina,8 Metal,,Rutiro(Lv 36) (ID: 171); Rutiro(Lv 38) (ID: 172),Aulada Ancient Tower; Aulada Ancient Tower,Material,[]
9,Bat Claw,3 Spina,3 Beast,,Nemico(Lv 11) (ID: 11); Nemico(Lv 11) (ID: 14); Nemico(Lv 13) (ID: 15); Rotta Nemico(Lv 45) (ID: 218),Underground Ruins: B1; Underground Ruins: B2; Underground Ruins: B2; Saham Underground Cave: B1,Material,[]
10,Bat Wing,1 Spina,2 Cloth,,Nemico(Lv 11) (ID: 11); Nemico(Lv 11) (ID: 14); Nemico(Lv 13) (ID: 15),Underground Ruins: B1; Underground Ruins: B2; Underground Ruins: B2,Material,[]
11,Bead Fragment,6 Spina,1 Mana,,Guardian Statue(Lv 22) (ID: 46); Energy Quartz(Lv 106) (ID: 1091); Stone(Lv 39) (ID: 199); Arcoiris(Lv 70) (ID: 181); Stone(Lv 33) (ID: 151); Stone(Lv 31) (ID: 150); Green Jelly(Lv 30) (ID: 149); Savaran (big)(Lv 19) (ID: 134); King Potum(Lv 50) (ID: 71); Vanilla Potum(Lv 14) (ID: 70); Vanilla Potum(Lv 10) (ID: 69); Silver Roar(Lv 42) (ID: 62); Guardian Statue(Lv 23) (ID: 50); Guardian Statue(Lv 22) (ID: 49); Energy Quartz(Lv 108) (ID: 1092),Ruined Temple: Area 2; Ultimea Sewer: East; New Moon Palace; Yorl Highlands; Zoktzda Ruins : Abnormal Space; Zoktzda Ruins : Abnormal Space; Zoktzda Ruins : Abnormal Space; Witeka Scorched Plains; Athema Ruins: Area 1; Athema Ruins: Area 1; Athema Ruins: Area 1; Debakcy Channel: B1; Ruined Temple: Area 3; Ruined Temple: Area 3; Ultimea Sewer: East,Material,[]
12,Beast Claw,4 Spina,4 Beast,,Foxiger(Lv 49) (ID: 229); Foxiger(Lv 48) (ID: 887),Centerio Highlands; Centerio Highlands,Material,[]
13,Beast Mane,6 Spina,7 Beast,,Foxiger(Lv 49) (ID: 229); Foxiger(Lv 48) (ID: 887),Centerio Highlands; Centerio Highlands,Material,[]
14,Big Mane,6 Spina,7 Beast,,Boar(Lv 25) (ID: 100); Boar(Lv 26) (ID: 103); Boar(Lv 27) (ID: 106); Green Boar(Lv 52) (ID: 271); Green Boar(Lv 52) (ID: 273),Nisel Mountain; Nisel Mountain: Mountainside; Nisel Mountain: Near The Top; Land Under Cultivation: Area 1; Land Under Cultivation: Area 2,Material,[]
15,Bird Wing,1 Spina,2 Beast,,Pico(Lv 1) (ID: 20); Beak(Lv 11) (ID: 40); Beak(Lv 12) (ID: 41); Beak(Lv 18) (ID: 43); Beak(Lv 19) (ID: 44); Pico(Lv 22) (ID: 90); Pico(Lv 18) (ID: 116); Arcoiris(Lv 70) (ID: 181); Pico(Lv 125) (ID: 2232),Rakau Plains; Ruined Temple Town; Ruined Temple Town; Ruined Temple: Area 1; Ruined Temple: Area 1; Marbaro Forest; Rinom Plains; Yorl Highlands; Creme Cliff (Valentine's Day Event),Material,[]
16,Black Crystal Fragment,4 Spina,5 Metal,,Eerie Crystal(Lv 24) (ID: 36); Brutal Dragon Decel(Lv 60) (ID: 675); Brutal Dragon Decel(Lv 50) (ID: 674); Brutal Dragon Decel(Lv 30) (ID: 673); Eerie Crystal(Lv 64) (ID: 659); Eerie Crystal(Lv 44) (ID: 658); Eerie Crystal(Lv 34) (ID: 657); Eerie Crystal(Lv 14) (ID: 656); Brutal Dragon Decel(Lv 40) (ID: 108),Isthmus Of Kaus: Dragon's Den; Nisel Mountain: The Top; Nisel Mountain: The Top; Nisel Mountain: The Top; Isthmus Of Kaus: Dragon's Den; Isthmus Of Kaus: Dragon's Den; Isthmus Of Kaus: Dragon's Den; Isthmus Of Kaus: Dragon's Den; Nisel Mountain: The Top,Material,[]
