code,stat,level
1090900,attack_mp_recovery,10
1090900,int,8
3040005,maxhp,10
3040005,aggro_pct,10
9090903,maxmp,10
9090903,int,10
8024545,attack_mp_recovery,10
8024545,maxmp,8
1220709,critical_rate,10
1220709,negative_aggro_pct,10
52255555,matk,10
52255555,int,8
4261111,accuracy,10
4261111,attack_mp_recovery,10
7123456,weapon_atk,10
7123456,attack_mp_recovery,10
1110033,str,10
1110033,agi,10
5130123,vit,10
3099876,dex,10
3099876,fire_resistance_pct,2
9090907,physical_resistance_pct,10
9090907,magic_resistance_pct,9
7190000,str,10
53190003,fractional_barrier_pct,10
53190003,earth_resistance_pct,5
3010018,negative_aggro_pct,10
3010018,stronger_against_water_pct,10
4111113,stronger_against_earth_pct,10
4111113,dex,9
6116116,stronger_against_dark_pct,10
6116116,maxmp,5
6098888,stronger_against_fire_pct,10
6098888,magic_barrier,5
7257777,dex,10
6030603,attack_mp_recovery,10
6030603,maxmp,10
2011234,attack_mp_recovery,10
2011234,maxmp,10
3010777,critical_rate,10
3010777,weapon_atk,10
1010017,attack_mp_recovery, 10
51110000,maxmp,10
51110000,int,9
1010356,maxhp,10
1010356,maxmp,9
4262222,maxhp,10
4262222,agi,10
1100000,physical_resistance_pct,10
1100000,critical_rate,10
7162029,critical_rate,10
7162029,agi,10
4070420,critical_rate,10
4070420,attack_mp_recovery,7
7010093,attack_mp_recovery,10
7010093,weapon_atk,10
4233333,attack_mp_recovery,10
4233333,str,9
5261919,str,10
2020303,str,10
1032222,int,10
1032222,maxmp,10
6010701,int,10
6010701,physical_resistance_pct,10
2020707,int,10
1010147,int,9
1010147,negative_aggro_pct,10
2027210,dex,10
2027210,str,5
1010058,attack_mp_recovery,10
1010058,dex,10
1119876,attack,10
6010024,weapon_atk,10
6010024,maxmp,9
2210666,weapon_atk,9
2010136,weapon_atk,10
2010136,aggro_pct,10
3020028,weapon_atk,10
1020001,physical_resistance_pct,10
1020001,stronger_against_earth_pct,4
6033737,magic_resistance_pct,10
6033737,str,9
1230300,stronger_against_water_pct,9
1230500,stronger_against_neutral_pct,8
5010546,stronger_against_water_pct,10
5010546,dex,9
3226325,attack_mp_recovery,10
3226325,str,8
2210101,stronger_against_wind_pct,10
7100666,stronger_against_earth_pct,10
1105050,agi,10
2210106,stronger_against_fire_pct,10
1230200,stronger_against_fire_pct,10
2210100,stronger_against_water_pct,10
2210103,stronger_against_earth_pct,10
7100666,stronger_against_earth_pct,10
2210105,stronger_against_light_pct,10
2210104,stronger_against_dark_pct,10
1190020,stronger_against_dark_pct,10
1190020,int,10
6116116,stronger_against_dark_pct,10
2210102,stronger_against_neutral_pct,10
4040404,attack_mp_recovery,10
4040404,weapon_atk,5
2020101,maxmp,10
2020606,aggro_pct,10
2020606,aggro_pct,10
2020222,dex,10
2020404,weapon_atk,10
6150029,earth_resistance_pct,10
6150029,fractional_barrier_pct,10
